A,P,sigma,kappa,I_kA,B_T,mark
0.01,0.1,0.21,1.9,300.0,0.7,0
0.01,0.18947,0.21,1.9,300.0,0.7,0
0.01,0.27895,0.21,1.9,300.0,0.7,0
0.01,0.36842,0.21,1.9,300.0,0.7,0
0.01,0.45789,0.21,1.9,300.0,0.7,0
0.01,0.54737,0.21,1.9,300.0,0.7,0
0.01,0.63684,0.21,1.9,300.0,0.7,0
0.01,0.72632,0.21,1.9,300.0,0.7,0
0.01,0.81579,0.21,1.9,300.0,0.7,0
0.01,0.90526,0.21,1.9,300.0,0.7,0
0.01,0.99474,0.21,1.9,300.0,0.7,0
0.01,1.08421,0.21,1.9,300.0,0.7,0
0.01,1.17368,0.21,1.9,300.0,0.7,0
0.01,1.26316,0.21,1.9,300.0,0.7,0
0.01,1.35263,0.21,1.9,300.0,0.7,0
0.01,1.44211,0.21,1.9,300.0,0.7,0
0.01,1.53158,0.21,1.9,300.0,0.7,0
0.01,1.62105,0.21,1.9,300.0,0.7,0
0.01,1.71053,0.21,1.9,300.0,0.7,0
0.01,1.8,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.1,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.18947,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.27895,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.36842,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.45789,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.54737,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.63684,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.72632,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.81579,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.90526,0.21,1.9,300.0,0.7,0
0.0157894736842105,0.99474,0.21,1.9,300.0,0.7,0
0.0157894736842105,1.08421,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.17368,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.26316,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.35263,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.44211,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.53158,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.62105,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.71053,0.21,1.9,300.0,0.7,1
0.0157894736842105,1.8,0.21,1.9,300.0,0.7,1
0.021578947368421,0.1,0.21,1.9,300.0,0.7,0
0.021578947368421,0.18947,0.21,1.9,300.0,0.7,0
0.021578947368421,0.27895,0.21,1.9,300.0,0.7,0
0.021578947368421,0.36842,0.21,1.9,300.0,0.7,0
0.021578947368421,0.45789,0.21,1.9,300.0,0.7,0
0.021578947368421,0.54737,0.21,1.9,300.0,0.7,0
0.021578947368421,0.63684,0.21,1.9,300.0,0.7,0
0.021578947368421,0.72632,0.21,1.9,300.0,0.7,0
0.021578947368421,0.81579,0.21,1.9,300.0,0.7,0
0.021578947368421,0.90526,0.21,1.9,300.0,0.7,0
0.021578947368421,0.99474,0.21,1.9,300.0,0.7,0
